CF;MES;CDA
602;1;Ventanilla
553;1;Ventanilla
556;1;Ventanilla
426;1;Ventanilla
586;1;Ventanilla
564;1;Ventanilla
611;1;Ventanilla
575;1;Ventanilla
488;1;Ventanilla
322;1;Ventanilla
587;1;Ventanilla
660;1;Ventanilla
458;1;Ventanilla
469;1;Ventanilla
584;1;Ventanilla
542;1;Ventanilla
578;1;Ventanilla
556;1;Ventanilla
599;1;Ventanilla
580;1;Ventanilla
557;1;Ventanilla
593;1;Ventanilla
574;1;Ventanilla
536;1;Ventanilla
540;1;Ventanilla
603;1;Ventanilla
492;1;Ventanilla
468;1;Ventanilla
443;1;Ventanilla
569;1;Ventanilla
629;1;Ventanilla
600;1;Ventanilla
562;1;Ventanilla
587;1;Ventanilla
649;1;Ventanilla
683;1;Ventanilla
557;1;Ventanilla
565;1;Ventanilla
636;1;Ventanilla
592;1;Ventanilla
570;1;Ventanilla
670;1;Ventanilla
737;1;Ventanilla
891;1;Ventanilla
529;1;Ventanilla
583;1;Ventanilla
579;1;Ventanilla
539;1;Ventanilla
665;1;Ventanilla
607;1;Ventanilla
540;1;Ventanilla
527;1;Ventanilla
579;1;Ventanilla
691;1;Ventanilla
559;1;Ventanilla
371;1;Ventanilla
627;1;Ventanilla
600;1;Ventanilla
415;1;Ventanilla
577;1;Ventanilla
519;1;Ventanilla
618;1;Ventanilla
595;1;Ventanilla
584;1;Ventanilla
574;1;Ventanilla
577;1;Ventanilla
465;1;Ventanilla
508;1;Ventanilla
514;1;Ventanilla
596;1;Ventanilla
532;1;Ventanilla
533;1;Ventanilla
616;1;Ventanilla
453;1;Ventanilla
950;1;Ventanilla
345;1;Ventanilla
596;1;Ventanilla
513;1;Ventanilla
643;1;Ventanilla
556;1;Ventanilla
647;1;Ventanilla
562;1;Ventanilla
622;1;Ventanilla
608;1;Ventanilla
632;1;Ventanilla
527;1;Ventanilla
587;1;Ventanilla
588;1;Ventanilla
499;1;Ventanilla
564;1;Ventanilla
587;1;Ventanilla
634;1;Ventanilla
583;1;Ventanilla
635;1;Ventanilla
601;1;Ventanilla
662;1;Ventanilla
102;1;Ventanilla
2;1;Ventanilla
622;1;Ventanilla
663;1;Ventanilla
602;1;Ventanilla
770;1;Ventanilla
603;1;Ventanilla
615;1;Ventanilla
528;1;Ventanilla
539;1;Ventanilla
567;1;Ventanilla
420;1;Ventanilla
484;1;Ventanilla
392;1;Ventanilla
386;1;Ventanilla
536;1;Ventanilla
530;1;Ventanilla
601;1;Ventanilla
549;1;Ventanilla
644;1;Ventanilla
614;1;Ventanilla
623;1;Ventanilla
595;1;Ventanilla
775;1;Ventanilla
647;1;Ventanilla
538;1;Ventanilla
621;1;Ventanilla
553;1;Ventanilla
537;1;Ventanilla
414;1;Ventanilla
610;1;Ventanilla
643;1;Ventanilla
567;1;Ventanilla
530;1;Ventanilla
516;1;Ventanilla
570;1;Ventanilla
606;1;Ventanilla
610;1;Ventanilla
50;1;Ventanilla
562;1;Ventanilla
566;1;Ventanilla
493;1;Ventanilla
522;1;Ventanilla
567;1;Ventanilla
574;1;Ventanilla
607;1;Ventanilla
629;1;Ventanilla
530;1;Ventanilla
466;1;Ventanilla
425;1;Ventanilla
562;1;Ventanilla
583;1;Ventanilla
491;1;Ventanilla
546;1;Ventanilla
541;1;Ventanilla
572;1;Ventanilla
589;1;Ventanilla
607;1;Ventanilla
584;1;Ventanilla
588;1;Ventanilla
652;1;Ventanilla
615;1;Ventanilla
566;1;Ventanilla
487;1;Ventanilla
602;1;Ventanilla
515;1;Ventanilla
613;1;Ventanilla
525;1;Ventanilla
581;1;Ventanilla
645;1;Ventanilla
612;1;Ventanilla
633;1;Ventanilla
608;1;Ventanilla
589;1;Ventanilla
629;1;Ventanilla
583;1;Ventanilla
594;1;Ventanilla
630;1;Ventanilla
570;1;Ventanilla
561;1;Ventanilla
610;1;Ventanilla
575;1;Ventanilla
478;1;Ventanilla
636;1;Ventanilla
547;1;Ventanilla
431;1;Ventanilla
600;1;Ventanilla
552;1;Ventanilla
563;1;Ventanilla
566;1;Ventanilla
634;1;Ventanilla
597;1;Ventanilla
642;1;Ventanilla
623;1;Ventanilla
628;1;Ventanilla
572;1;Ventanilla
581;1;Ventanilla
428;1;Ventanilla
568;1;Ventanilla
567;1;Ventanilla
970;1;Ventanilla
770;1;Ventanilla
726;1;Ventanilla
609;1;Ventanilla
533;1;Ventanilla
500;1;Ventanilla
643;1;Ventanilla
650;1;Ventanilla
644;1;Ventanilla
626;1;Ventanilla
574;1;Ventanilla
476;1;Ventanilla
634;1;Ventanilla
498;1;Ventanilla
667;1;Ventanilla
655;1;Ventanilla
525;1;Ventanilla
510;1;Ventanilla
362;1;Ventanilla
601;1;Ventanilla
602;1;Ventanilla
650;1;Ventanilla
607;1;Ventanilla
614;1;Ventanilla
632;1;Ventanilla
565;1;Ventanilla
614;1;Ventanilla
583;1;Ventanilla
531;1;Ventanilla
831;1;Ventanilla
649;1;Ventanilla
468;1;Ventanilla
586;1;Ventanilla
469;1;Ventanilla
703;1;Ventanilla
489;1;Ventanilla
616;1;Ventanilla
674;1;Ventanilla
642;1;Ventanilla
626;1;Ventanilla
658;1;Ventanilla
666;1;Ventanilla
533;1;Ventanilla
494;1;Ventanilla
489;1;Ventanilla
572;1;Ventanilla
593;1;Ventanilla
611;1;Ventanilla
530;1;Ventanilla
692;1;Ventanilla
539;1;Ventanilla
478;1;Ventanilla
494;1;Ventanilla
557;1;Ventanilla
639;1;Ventanilla
618;1;Ventanilla
574;1;Ventanilla
582;1;Ventanilla
611;1;Ventanilla
566;1;Ventanilla
564;1;Ventanilla
407;1;Ventanilla
585;1;Ventanilla
595;1;Ventanilla
567;1;Ventanilla
460;1;Ventanilla
717;1;Ventanilla
588;1;Ventanilla
586;1;Ventanilla
614;1;Ventanilla
620;1;Ventanilla
606;1;Ventanilla
576;1;Ventanilla
572;1;Ventanilla
450;1;Ventanilla
559;1;Ventanilla
505;1;Ventanilla
607;1;Ventanilla
597;1;Ventanilla
430;1;Ventanilla
404;1;Ventanilla
514;1;Ventanilla
419;1;Ventanilla
400;1;Ventanilla
655;1;Ventanilla
552;1;Ventanilla
679;1;Ventanilla
488;1;Ventanilla
641;1;Ventanilla
596;1;Ventanilla
579;1;Ventanilla
636;1;Ventanilla
638;1;Ventanilla
493;1;Ventanilla
514;1;Ventanilla
557;1;Ventanilla
573;1;Ventanilla
434;1;Ventanilla
471;1;Ventanilla
591;1;Ventanilla
520;1;Ventanilla
601;1;Ventanilla
654;1;Ventanilla
662;1;Ventanilla
603;1;Ventanilla
680;1;Ventanilla
639;1;Ventanilla
572;1;Ventanilla
537;1;Ventanilla
619;1;Ventanilla
646;1;Ventanilla
642;1;Ventanilla
398;1;Ventanilla
394;1;Ventanilla
542;1;Ventanilla
570;1;Ventanilla
646;1;Ventanilla
638;1;Ventanilla
695;1;Ventanilla
656;1;Ventanilla
629;1;Ventanilla
638;1;Ventanilla
505;1;Ventanilla
591;1;Ventanilla
642;1;Ventanilla
550;1;Ventanilla
454;1;Ventanilla
